year,office,county,party,candidate,electionType,votes
2002,senate,franklin,republican,robert (bob) brown,primary,154
2002,senate,franklin,republican,bob irvin,primary,296
2002,senate,franklin,republican,saxby chambliss,primary,311
2002,senate,franklin,republican,saxby chambliss,general,2431
2002,senate,franklin,democratic,max cleveland,primary,1743
2002,senate,franklin,democratic,max cleland,general,2163
2002,senate,forsyth,libertarian,sandy thomas,general,500
2002,senate,forsyth,republican,robert (bob) brown,primary,1704
2002,senate,forsyth,republican,bob irvin,primary,5407
2002,senate,forsyth,republican,saxby chambliss,primary,7951
2002,senate,forsyth,republican,saxby chambliss,general,25336
2002,senate,forsyth,democratic,max cleveland,primary,755
2002,senate,forsyth,democratic,max cleland,general,6976
2002,senate,macon,libertarian,sandy thomas,general,41
2002,senate,macon,republican,robert (bob) brown,primary,13
2002,senate,macon,republican,bob irvin,primary,11
2002,senate,macon,republican,saxby chambliss,primary,257
2002,senate,macon,republican,saxby chambliss,general,1293
2002,senate,macon,democratic,max cleveland,primary,748
2002,senate,macon,democratic,max cleland,general,2251
2002,senate,wilkes,libertarian,sandy thomas,general,42
2002,senate,wilkes,republican,robert (bob) brown,primary,31
2002,senate,wilkes,republican,bob irvin,primary,57
2002,senate,wilkes,republican,saxby chambliss,primary,85
2002,senate,wilkes,republican,saxby chambliss,general,1527
2002,senate,wilkes,democratic,max cleveland,primary,1905
2002,senate,wilkes,democratic,max cleland,general,1715
2002,senate,twiggs,libertarian,sandy thomas,general,43
2002,senate,twiggs,republican,robert (bob) brown,primary,17
2002,senate,twiggs,republican,bob irvin,primary,12
